alpha,cl,cd,cm,name,re,ma,img
-1.0,-0.1639,0.01294,0.0086,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_-1.jpg
0.0,0.0,0.01303,-0.0,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_0.jpg
1.0,0.1639,0.01293,-0.0086,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_1.jpg
2.0,0.3206,0.01296,-0.0164,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_2.jpg
3.0,0.4163,0.01355,-0.0131,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_3.jpg
4.0,0.5027,0.01473,-0.0084,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_4.jpg
5.0,0.586,0.01659,-0.0038,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_5.jpg
6.0,0.6672,0.01907,0.0009,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_6.jpg
7.0,0.7479,0.02197,0.0057,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_7.jpg
8.0,0.8252,0.02578,0.0106,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_8.jpg
9.0,0.9005,0.03052,0.0151,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_9.jpg
10.0,0.9662,0.03679,0.0199,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_10.jpg
11.0,0.9971,0.04504,0.0262,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_11.jpg
12.0,0.9594,0.05787,0.0314,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_12.jpg
13.0,0.7567,0.1149,-0.0053,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_13.jpg
14.0,0.7079,0.1477,-0.0202,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_14.jpg
15.0,0.7058,0.16967,-0.0296,NACA 0011,103000,0.0,NACA0011_sdf_103000_0.0_15.jpg
-1.0,-0.1449,0.01342,0.0041,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_-1.jpg
0.0,0.0,0.01337,-0.0,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_0.jpg
1.0,0.1449,0.01342,-0.0041,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_1.jpg
2.0,0.2938,0.01366,-0.01,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_2.jpg
3.0,0.4368,0.01421,-0.0163,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_3.jpg
4.0,0.5215,0.01517,-0.0117,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_4.jpg
5.0,0.6029,0.01668,-0.0066,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_5.jpg
6.0,0.6817,0.01877,-0.0014,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_6.jpg
7.0,0.7575,0.02139,0.0042,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_7.jpg
8.0,0.8321,0.02447,0.0096,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_8.jpg
9.0,0.9024,0.02856,0.0151,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_9.jpg
10.0,0.9682,0.03302,0.0203,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_10.jpg
11.0,1.0174,0.04001,0.0263,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_11.jpg
12.0,1.0287,0.04788,0.0337,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_12.jpg
13.0,0.9977,0.06071,0.0347,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_13.jpg
14.0,0.891,0.09167,0.0157,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_14.jpg
15.0,0.7167,0.15594,-0.0196,NACA 0012,103000,0.0,NACA0012_sdf_103000_0.0_15.jpg
-1.0,-0.1298,0.01384,0.0008,NACA 0013,103000,0.0,NACA0013_sdf_103000_0.0_-1.jpg
0.0,0.0,0.01372,-0.0,NACA 0013,103000,0.0,NACA0013_sdf_103000_0.0_0.jpg
1.0,0.1298,0.01384,-0.0008,NACA 0013,103000,0.0,NACA0013_sdf_103000_0.0_1.jpg
2.0,0.2685,0.01427,-0.0043,NACA 0013,103000,0.0,NACA0013_sdf_103000_0.0_2.jpg
3.0,0.4167,0.01489,-0.0113,NACA 0013,103000,0.0,NACA0013_sdf_103000_0.0_3.jpg
4.0,0.5429,0.01574,-0.0152,NACA 0013,103000,0.0,NACA0013_sdf_103000_0.0_4.jpg
5.0,0.6219,0.01699,-0.0099,NACA 0013,103000,0.0,NACA0013_sdf_103000_0.0_5.jpg
6.0,0.6974,0.01877,-0.004,NACA 0013,103000,0.0,NACA0013_sdf_103000_0.0_6.jpg
7.0,0.77,0.02105,0.0022,NACA 0013,103000,0.0,NACA0013_sdf_103000_0.0_7.jpg
8.0,0.8395,0.02383,0.0087,NACA 0013,103000,0.0,NACA0013_sdf_103000_0.0_8.jpg
9.0,0.9066,0.02707,0.0148,NACA 0013,103000,0.0,NACA0013_sdf_103000_0.0_9.jpg
