alpha,cl,cd,cm,name,re,ma,img
-10.0,-0.4086,0.11475999999999999,-0.0229,a18sm,500000,0.0,a18sm_sdf_500000_0.0_-10.jpg
-9.0,-0.3923,0.10239,-0.0268,a18sm,500000,0.0,a18sm_sdf_500000_0.0_-9.jpg
-8.0,-0.3928,0.0911,-0.0281,a18sm,500000,0.0,a18sm_sdf_500000_0.0_-8.jpg
-7.0,-0.4171,0.08345,-0.0234,a18sm,500000,0.0,a18sm_sdf_500000_0.0_-7.jpg
-6.0,-0.3176,0.059570000000000005,-0.0574,a18sm,500000,0.0,a18sm_sdf_500000_0.0_-6.jpg
-5.0,-0.145,0.01349,-0.1034,a18sm,500000,0.0,a18sm_sdf_500000_0.0_-5.jpg
-4.0,-0.0011,0.01077,-0.1107,a18sm,500000,0.0,a18sm_sdf_500000_0.0_-4.jpg
-3.0,0.1439,0.00909,-0.118,a18sm,500000,0.0,a18sm_sdf_500000_0.0_-3.jpg
-2.0,0.2769,0.008140000000000001,-0.1224,a18sm,500000,0.0,a18sm_sdf_500000_0.0_-2.jpg
-1.0,0.3927,0.007390000000000001,-0.1228,a18sm,500000,0.0,a18sm_sdf_500000_0.0_-1.jpg
0.0,0.5043,0.006540000000000001,-0.1224,a18sm,500000,0.0,a18sm_sdf_500000_0.0_0.jpg
1.0,0.6075,0.00583,-0.1194,a18sm,500000,0.0,a18sm_sdf_500000_0.0_1.jpg
2.0,0.7147,0.00642,-0.1177,a18sm,500000,0.0,a18sm_sdf_500000_0.0_2.jpg
3.0,0.8225,0.0071200000000000005,-0.1166,a18sm,500000,0.0,a18sm_sdf_500000_0.0_3.jpg
4.0,0.9245,0.00835,-0.1145,a18sm,500000,0.0,a18sm_sdf_500000_0.0_4.jpg
5.0,1.0163,0.01103,-0.1115,a18sm,500000,0.0,a18sm_sdf_500000_0.0_5.jpg
6.0,1.1045,0.014230000000000001,-0.108,a18sm,500000,0.0,a18sm_sdf_500000_0.0_6.jpg
7.0,1.1814,0.01879,-0.1014,a18sm,500000,0.0,a18sm_sdf_500000_0.0_7.jpg
8.0,1.2518,0.0263,-0.0938,a18sm,500000,0.0,a18sm_sdf_500000_0.0_8.jpg
9.0,1.3291,0.031,-0.0885,a18sm,500000,0.0,a18sm_sdf_500000_0.0_9.jpg
10.0,1.3731,0.04055,-0.0789,a18sm,500000,0.0,a18sm_sdf_500000_0.0_10.jpg
11.0,1.3588,0.050769999999999996,-0.0635,a18sm,500000,0.0,a18sm_sdf_500000_0.0_11.jpg
12.0,1.2995,0.06468,-0.0529,a18sm,500000,0.0,a18sm_sdf_500000_0.0_12.jpg
13.0,1.205,0.09071,-0.0606,a18sm,500000,0.0,a18sm_sdf_500000_0.0_13.jpg
17.0,1.0405,0.23458,-0.1324,a18sm,500000,0.0,a18sm_sdf_500000_0.0_17.jpg
18.0,1.0541,0.25635,-0.1399,a18sm,500000,0.0,a18sm_sdf_500000_0.0_18.jpg
19.0,1.0686,0.27709,-0.1475,a18sm,500000,0.0,a18sm_sdf_500000_0.0_19.jpg
20.0,1.0817,0.29822,-0.1547,a18sm,500000,0.0,a18sm_sdf_500000_0.0_20.jpg
-9.0,-0.4109,0.08956,-0.0252,a18,500000,0.0,a18_sdf_500000_0.0_-9.jpg
-8.0,-0.4084,0.08012999999999999,-0.0224,a18,500000,0.0,a18_sdf_500000_0.0_-8.jpg
-7.0,-0.2068,0.011040000000000001,-0.1032,a18,500000,0.0,a18_sdf_500000_0.0_-7.jpg
-6.0,-0.0725,0.01229,-0.1098,a18,500000,0.0,a18_sdf_500000_0.0_-6.jpg
-5.0,0.0431,0.0109,-0.113,a18,500000,0.0,a18_sdf_500000_0.0_-5.jpg
-4.0,0.1513,0.00928,-0.1135,a18,500000,0.0,a18_sdf_500000_0.0_-4.jpg
-3.0,0.2605,0.00842,-0.1144,a18,500000,0.0,a18_sdf_500000_0.0_-3.jpg
-2.0,0.3683,0.00795,-0.1156,a18,500000,0.0,a18_sdf_500000_0.0_-2.jpg
-1.0,0.4724,0.00839,-0.1159,a18,500000,0.0,a18_sdf_500000_0.0_-1.jpg
0.0,0.5851,0.007890000000000001,-0.1181,a18,500000,0.0,a18_sdf_500000_0.0_0.jpg
1.0,0.697,0.007659999999999999,-0.1202,a18,500000,0.0,a18_sdf_500000_0.0_1.jpg
2.0,0.7945,0.0073,-0.1189,a18,500000,0.0,a18_sdf_500000_0.0_2.jpg
3.0,0.8919,0.00883,-0.1181,a18,500000,0.0,a18_sdf_500000_0.0_3.jpg
4.0,0.9833,0.011479999999999999,-0.1169,a18,500000,0.0,a18_sdf_500000_0.0_4.jpg
5.0,1.0716,0.01486,-0.1139,a18,500000,0.0,a18_sdf_500000_0.0_5.jpg
15.0,1.003,0.22311,-0.13,a18,500000,0.0,a18_sdf_500000_0.0_15.jpg
16.0,1.0241,0.24259,-0.1381,a18,500000,0.0,a18_sdf_500000_0.0_16.jpg
17.0,1.0461,0.26214,-0.1461,a18,500000,0.0,a18_sdf_500000_0.0_17.jpg
18.0,1.0685,0.28192,-0.1538,a18,500000,0.0,a18_sdf_500000_0.0_18.jpg
19.0,1.0909,0.30196999999999996,-0.1612,a18,500000,0.0,a18_sdf_500000_0.0_19.jpg
20.0,1.1123,0.32243,-0.1682,a18,500000,0.0,a18_sdf_500000_0.0_20.jpg
-3.0,-0.1695,0.01132,-0.0289,ag03,500000,0.0,ag03_sdf_500000_0.0_-3.jpg
-2.0,-0.0275,0.00801,-0.0349,ag03,500000,0.0,ag03_sdf_500000_0.0_-2.jpg
-1.0,0.0926,0.00483,-0.0369,ag03,500000,0.0,ag03_sdf_500000_0.0_-1.jpg
0.0,0.2125,0.00485,-0.0369,ag03,500000,0.0,ag03_sdf_500000_0.0_0.jpg
1.0,0.3166,0.0054,-0.0345,ag03,500000,0.0,ag03_sdf_500000_0.0_1.jpg
2.0,0.423,0.0061200000000000004,-0.033,ag03,500000,0.0,ag03_sdf_500000_0.0_2.jpg
3.0,0.5298,0.00705,-0.0321,ag03,500000,0.0,ag03_sdf_500000_0.0_3.jpg
4.0,0.6364,0.008159999999999999,-0.0314,ag03,500000,0.0,ag03_sdf_500000_0.0_4.jpg
5.0,0.7424,0.00945,-0.0308,ag03,500000,0.0,ag03_sdf_500000_0.0_5.jpg
6.0,0.8468,0.011009999999999999,-0.0301,ag03,500000,0.0,ag03_sdf_500000_0.0_6.jpg
7.0,0.9483,0.013090000000000001,-0.029,ag03,500000,0.0,ag03_sdf_500000_0.0_7.jpg
8.0,1.0473,0.01542,-0.0276,ag03,500000,0.0,ag03_sdf_500000_0.0_8.jpg
9.0,1.1373,0.01917,-0.0252,ag03,500000,0.0,ag03_sdf_500000_0.0_9.jpg
10.0,1.2181,0.0238,-0.022,ag03,500000,0.0,ag03_sdf_500000_0.0_10.jpg
11.0,1.2779,0.03025,-0.0177,ag03,500000,0.0,ag03_sdf_500000_0.0_11.jpg
12.0,1.2707,0.041510000000000005,-0.0104,ag03,500000,0.0,ag03_sdf_500000_0.0_12.jpg
13.0,1.2197,0.06366000000000001,-0.0222,ag03,500000,0.0,ag03_sdf_500000_0.0_13.jpg
14.0,1.1431,0.09795,-0.0436,ag03,500000,0.0,ag03_sdf_500000_0.0_14.jpg
15.0,1.0718,0.1325,-0.0613,ag03,500000,0.0,ag03_sdf_500000_0.0_15.jpg
-5.0,-0.3787,0.0157,-0.0367,ag04,500000,0.0,ag04_sdf_500000_0.0_-5.jpg
-4.0,-0.2741,0.011,-0.0349,ag04,500000,0.0,ag04_sdf_500000_0.0_-4.jpg
-3.0,-0.1695,0.008459999999999999,-0.033,ag04,500000,0.0,ag04_sdf_500000_0.0_-3.jpg
-2.0,-0.0619,0.007209999999999999,-0.0327,ag04,500000,0.0,ag04_sdf_500000_0.0_-2.jpg
-1.0,0.0833,0.00542,-0.0403,ag04,500000,0.0,ag04_sdf_500000_0.0_-1.jpg
0.0,0.1938,0.00476,-0.0379,ag04,500000,0.0,ag04_sdf_500000_0.0_0.jpg
1.0,0.2984,0.00536,-0.0354,ag04,500000,0.0,ag04_sdf_500000_0.0_1.jpg
2.0,0.4061,0.00611,-0.0341,ag04,500000,0.0,ag04_sdf_500000_0.0_2.jpg
3.0,0.5142,0.0070599999999999994,-0.0333,ag04,500000,0.0,ag04_sdf_500000_0.0_3.jpg
4.0,0.622,0.008190000000000001,-0.0327,ag04,500000,0.0,ag04_sdf_500000_0.0_4.jpg
5.0,0.7291,0.0095,-0.0321,ag04,500000,0.0,ag04_sdf_500000_0.0_5.jpg
6.0,0.8341,0.0112,-0.0314,ag04,500000,0.0,ag04_sdf_500000_0.0_6.jpg
7.0,0.9358,0.013619999999999998,-0.0302,ag04,500000,0.0,ag04_sdf_500000_0.0_7.jpg
